AverageDiscountedReturn,LossBefore,MeanKLBefore,dLoss,AverageAbsY,AverageAbsQ,AverageQ,StdReturn,AverageReturn,MaxReturn,EnvExecTime,AverageAbsQYDiff,PolicyExecTime,AbsLearnSignalOld,AveragePolicyStd,Iteration,ProcessExecTime,ExplainedVariance,MinReturn,AbsLearnSignalNew,MeanKL,NumTrajs,Perplexity,AverageQLoss,AbsLearnSignal,LossAfter,Entropy,Time,ItrTime,AverageY
-63.9132061746,1.87196,0.0,0.0725238,1.49750079814,1.41134,-0.933726,126.267027906,-577.123450467,-406.298782249,1.4938173294067383,0.441831687297,0.8492448329925537,0.795677453776,1.0,0,0.11608123779296875,1.5363710304e-11,-795.253523044,0.79567469809,0.00992871,5,4982.22,0.334357,0.79567469809,1.79944,8.51363,39.49607563018799,39.49597644805908,-0.935694746201
-47.6489412191,4.2592,0.0,0.0586786,3.59549285698,3.52043,-3.08192,107.523718787,-505.128119308,-325.917825248,1.570512294769287,0.708125448023,0.9385850429534912,0.812218922438,1.00104,1,0.11332583427429199,0.210696867367,-656.154796203,0.812159186783,0.00646909,5,5013.47,0.846236,0.812159186783,4.20052,8.51988,79.2021255493164,39.54275393486023,-3.08650690353
-53.3556631029,5.33925,0.0,0.0749245,5.48415333726,5.41321,-4.98518,47.4599552948,-462.578141496,-372.322378361,1.5618605613708496,0.916111555837,0.9567050933837891,0.812650542703,1.00064,2,0.11487960815429688,0.00209545731364,-510.712986531,0.812977428377,0.00991746,5,5001.38,1.4344,0.812977428377,5.26433,8.51747,118.78745865821838,39.450907707214355,-4.98925220586
-39.970111192,6.40483,0.0,0.0673742,7.22651661897,7.14701,-6.57739,95.2701515557,-386.384486607,-205.736180518,1.5892767906188965,1.09489246543,1.014439582824707,0.758603938818,1.00015,3,0.11286067962646484,0.0273769274405,-467.909053876,0.759042713988,0.00646379,5,4986.32,2.0888,0.759042713988,6.33745,8.51445,157.9736955165863,39.045254707336426,-6.58077874975
-42.8255576816,8.20368,0.0,0.0689363,8.72790955155,8.64714,-8.0009,130.916978302,-412.515569241,-196.275862212,1.629711627960205,1.20588186756,0.975151777267456,0.782130287708,0.999894,4,0.11858153343200684,0.266082969767,-559.831245329,0.782654660851,0.00650284,5,4978.7,2.59003,0.782654660851,8.13474,8.51292,197.48046445846558,39.36868619918823,-8.00340992972
-24.6027357156,8.08959,0.0,0.0774584,9.81385976555,9.72151,-8.97517,28.1548523821,-315.754451898,-267.876720891,1.6056931018829346,1.32668956545,0.9845712184906006,0.792752624928,0.998238,5,0.11949300765991211,0.100329996514,-351.123140018,0.793456212273,0.00655955,5,4929.31,3.20113,0.793456212273,8.01213,8.50295,236.98926663398743,39.37176561355591,-8.97806211943
-40.491106568,8.07486,0.0,0.0780563,10.5609714986,10.4531,-9.61418,95.7964328584,-332.653176266,-179.260455321,1.6234841346740723,1.43699191888,0.9973151683807373,0.809283674778,0.999112,6,0.11503124237060547,0.280561191794,-434.937130373,0.807621216415,0.00658389,5,4955.22,3.8057,0.807621216415,7.99681,8.5082,276.52761244773865,39.399694204330444,-9.6173841909
-21.4323469044,6.60919,0.0,0.070363,10.9465228904,10.8163,-9.79894,216.015251059,-203.801407367,208.770013479,1.6442201137542725,1.53971355233,0.9899837970733643,0.787556607114,0.998557,7,0.12188506126403809,-0.0688660293716,-370.108803683,0.784106268012,0.00656343,5,4938.76,4.62263,0.784106268012,6.53883,8.50487,315.7793905735016,39.11768436431885,-9.8008504818
-8.24051543742,6.52775,0.0,0.0729146,11.0776582229,10.9498,-9.77263,86.7576363076,-317.054466962,-247.865380557,1.630298137664795,1.58195727113,1.0027830600738525,0.748139721711,0.998538,8,0.12045788764953613,0.162075221829,-480.965768578,0.747762669835,0.00654607,5,4938.19,4.76888,0.747762669835,6.45483,8.50475,355.46454310417175,39.55056667327881,-9.77308099209
-12.8596652552,7.13951,0.0,0.0667739,11.1487561291,11.0148,-9.7281,185.926950159,-209.494321067,29.1203053206,1.6400020122528076,1.61129711046,1.0235471725463867,0.769297245441,0.998224,9,0.11957788467407227,0.367459567644,-447.301070433,0.76900912526,0.0065103,5,4928.9,4.94622,0.76900912526,7.07273,8.50287,394.9916977882385,39.39561653137207,-9.72784076645
