MeanKL,AverageReturn,LossAfter,AverageQ,AbsLearnSignalOld,ExplainedVariance,Iteration,EnvExecTime,MaxReturn,ItrTime,AverageDiscountedReturn,Time,AveragePolicyStd,AverageAbsQ,PolicyExecTime,StdReturn,LossBefore,AverageAbsY,MeanKLBefore,AverageQLoss,Entropy,AbsLearnSignalNew,ProcessExecTime,NumTrajs,MinReturn,AverageY,AbsLearnSignal,AverageAbsQYDiff,dLoss,Perplexity
0.0064428,-401.689128824,1.9575,-1.3254,0.727385898211,4.27128332703e-11,0,1.462522268295288,-335.196859682,39.743635177612305,-33.2752182985,39.74365234375,1.0,1.42429,0.8467230796813965,37.172289448,2.01462,1.49392666134,0.0,0.321808,8.51363,0.727730931812,0.11131691932678223,5,-436.151833271,-1.3307097069,0.727730931812,0.427032840633,0.0571213,4982.22
0.00987183,-392.237417154,3.68192,-2.93625,0.624940676228,0.3334361788,1,1.5324368476867676,-266.587198692,39.64905786514282,-38.8806903595,79.5540041923523,1.00023,3.02933,0.9186215400695801,77.0101419932,3.7493,3.09611342166,0.0,0.808751,8.515,0.624371361835,0.11256957054138184,5,-492.06763169,-2.94092702957,0.624371361835,0.642221151218,0.0673864,4989.04
0.00644774,-414.36672914,5.27146,-4.46686,0.687498515644,0.0542730175324,2,1.557861328125,-328.558012091,40.01452898979187,-36.1550696121,119.70195508003235,0.998936,4.5709,0.9613168239593506,49.4241146466,5.32604,4.60534546837,0.0,0.799382,8.50723,0.687285353611,0.11554503440856934,5,-476.190879674,-4.46979063935,0.687285353611,0.675494546575,0.0545807,4950.45
0.0099781,-467.025758026,6.78064,-5.88674,0.646931909248,0.267000065682,3,1.587083339691162,-395.665515704,39.619659662246704,-64.0187275639,159.4501461982727,0.998508,6.00466,0.9597303867340088,36.7841758952,6.8467,6.03679610364,0.0,1.11097,8.50466,0.647939256357,0.11769461631774902,5,-496.404737208,-5.88939066519,0.647939256357,0.779625013978,0.0660591,4937.74
0.00647669,-463.404867255,8.37982,-7.26989,0.714566381744,0.180459489761,4,1.5772755146026611,-354.493559695,39.56757712364197,-38.1415601432,199.14852023124695,0.998169,7.40442,0.9926905632019043,123.11819624,8.43697,7.44108926325,0.0,1.52187,8.50263,0.714704476911,0.11877584457397461,5,-690.732531907,-7.27263423496,0.714704476911,0.89183872083,0.0571518,4927.71
0.00998811,-403.553166821,8.54214,-8.45327,0.717636698757,0.196675082639,5,1.5922646522521973,-315.665901034,39.81361770629883,-34.2590431966,239.09367752075195,0.998059,8.59279,0.9314076900482178,99.9777051666,8.61653,8.62889343149,0.0,1.84024,8.50196,0.717449992025,0.12050390243530273,5,-592.095033308,-8.45630306139,0.717449992025,0.966002091301,0.0743942,4924.42
0.00644825,-367.846118722,9.33598,-9.46612,0.734706514421,0.246606167492,6,1.5821316242218018,-282.433945203,39.798723459243774,-18.3927955084,279.022926568985,0.998637,9.60071,0.9578428268432617,59.4138635179,9.39324,9.63314129375,0.0,1.99117,8.50544,0.733769268818,0.12340760231018066,5,-448.632972128,-9.46922556574,0.733769268818,0.990992342313,0.0572662,4941.57
0.00640536,-373.303556084,10.1459,-10.3562,0.709071101237,0.530209988589,7,1.5901188850402832,-325.431181503,39.61855149269104,-28.6371225701,318.7747116088867,0.999362,10.4992,0.9549703598022461,33.1580076051,10.2009,10.5313717465,0.0,2.11235,8.50978,0.708517278322,0.11952877044677734,5,-422.452299738,-10.3598834808,0.708517278322,1.00308202925,0.0550528,4963.08
0.00644934,-334.252107861,10.6812,-11.1187,0.753903866913,0.414230128594,8,1.6002869606018066,-275.234835241,39.69680094718933,-31.3779072289,358.6086480617523,0.99863,11.2451,0.9563796520233154,30.2829800795,10.7378,11.272824693,0.0,2.23373,8.50536,0.75294314784,0.12137508392333984,5,-358.504362506,-11.122613433,0.75294314784,1.01378229346,0.0566549,4941.16
0.00991239,-341.69577194,11.4291,-11.7836,0.703028429502,0.105510314054,9,1.5986731052398682,-280.12897463,39.276665449142456,-18.0846979749,398.01075744628906,0.998004,11.8956,0.9451866149902344,44.3327547105,11.4951,11.9215474126,0.0,2.27054,8.50159,0.703155375133,0.11547613143920898,5,-395.777179545,-11.7882072894,0.703155375133,1.01799103568,0.0659809,4922.58
0.00641762,-355.931343268,12.0693,-12.3651,0.70406999221,0.30723903643,10,1.5804715156555176,-314.227081436,39.39175534248352,-30.52163927,437.54412722587585,0.995155,12.4708,0.9245712757110596,53.7651522861,12.1265,12.4924198968,0.0,2.35003,8.48443,0.705150905958,0.12700343132019043,5,-462.014110524,-12.369524185,0.705150905958,1.0249452328,0.0572081,4838.85
0.00997081,-353.568199992,13.0884,-12.8921,0.658266631086,0.119152348917,11,1.5786986351013184,-258.791482941,39.40320801734924,-39.6845361186,477.08879137039185,0.994925,12.9921,0.9205687046051025,82.1668508559,13.1625,13.014837982,0.0,2.45496,8.483,0.66041635485,0.11700630187988281,5,-495.298960184,-12.8971979027,0.66041635485,1.03681787542,0.0741444,4831.9
0.00643296,-312.771838198,12.6354,-13.2423,0.739028740748,-0.150522843545,12,1.5802738666534424,-274.976751087,39.481178283691406,-22.8681529438,516.7145893573761,0.993905,13.3342,0.9138152599334717,24.109973541,12.6931,13.3570330025,0.0,2.42308,8.47683,0.737251499332,0.11919188499450684,5,-342.319589734,-13.2469952877,0.737251499332,1.01980464392,0.0577097,4802.22
0.00642535,-338.531672521,12.9829,-13.5022,0.716026001897,0.0581278570166,13,1.5787835121154785,-231.084913567,39.31036901473999,-23.9564741488,556.161741733551,0.992456,13.5826,0.9216201305389404,83.2444264044,13.0386,13.6021321108,0.0,2.46196,8.46804,0.715084487111,0.12055230140686035,5,-446.604993247,-13.5075698514,0.715084487111,1.02256369304,0.0557365,4760.18
0.00646515,-306.366761291,13.2632,-13.7882,0.696927865083,-5.5715404149,14,1.5863409042358398,-215.08533444,39.162649631500244,-30.8372606828,595.4621109962463,0.99205,13.8509,0.9127616882324219,54.9110235996,13.3212,13.8679092005,0.0,2.35228,8.46555,0.697305232096,0.11837148666381836,5,-373.207220416,-13.7919899994,0.697305232096,0.997541848391,0.0579386,4748.35
0.00642495,-312.879740953,13.1026,-13.9802,0.748822910276,0.247158457052,15,1.6121368408203125,-279.395683582,39.342740535736084,-20.0605814637,634.9314947128296,0.990557,14.0355,0.9505715370178223,38.0992350012,13.161,14.0516417924,0.0,2.3029,8.45651,0.747764006035,0.11801362037658691,5,-379.149700575,-13.9845282191,0.747764006035,0.988930670068,0.0583792,4705.59
0.00641269,-300.804514526,13.1124,-14.0762,0.731442960392,0.259601637311,16,1.6033198833465576,-243.772795571,39.53056859970093,-21.6050370443,674.5963339805603,0.990914,14.1362,0.9571940898895264,43.6685818346,13.1685,14.1521624791,0.0,2.2546,8.45859,0.729391419374,0.11985325813293457,5,-365.310240009,-14.0799368266,0.729391419374,0.980485511707,0.0560856,4715.41
0.0064523,-323.853578268,13.7364,-14.2097,0.757705190733,0.198046675271,17,1.6019184589385986,-271.488380076,39.67606210708618,-30.8686642478,714.4062926769257,0.990903,14.2673,0.9740514755249023,41.2098048469,13.792,14.2819773559,0.0,2.17494,8.45854,0.758511301419,0.12114739418029785,5,-390.947658816,-14.2125886236,0.758511301419,0.964458471953,0.0555649,4715.18
0.00646301,-279.945218303,13.6228,-14.2403,0.791201595379,0.366879953017,18,1.5993142127990723,-233.328452164,39.30340003967285,-21.5109469587,753.8415927886963,0.991432,14.2979,0.953547477722168,28.4464716614,13.6776,14.3117657297,0.0,2.07738,8.46173,0.79020296871,0.11575055122375488,5,-316.376151064,-14.2430734111,0.79020296871,0.944361054937,0.0547934,4730.25
0.00647131,-287.518802535,13.2409,-14.2511,0.781928566893,0.231681915699,19,1.6045756340026855,-252.032113756,39.51310753822327,-19.9866918492,793.4894635677338,0.990214,14.3111,0.9668018817901611,29.685858122,13.2932,14.3239658333,0.0,2.01084,8.45431,0.780901733134,0.1202542781829834,5,-341.036242659,-14.2535054575,0.780901733134,0.928954266885,0.0522976,4695.25
0.00642404,-267.975768847,13.1663,-14.2603,0.760319883885,0.370520524639,20,1.6103143692016602,-204.070796244,39.43494534492493,-14.9496111273,833.0580747127533,0.989012,14.3139,0.9530677795410156,44.2727993905,13.2226,14.3266977849,0.0,1.93985,8.4469,0.757873571623,0.12061715126037598,5,-330.628302151,-14.2626056115,0.757873571623,0.914776904756,0.0562878,4660.6
0.00644112,-259.175473297,13.2962,-14.2177,0.715848972637,0.328928691311,21,1.597956657409668,-206.744523373,39.52308797836304,-11.6554945028,872.7143771648407,0.988199,14.2654,0.9576795101165771,47.9558670944,13.3498,14.2763087665,0.0,1.87056,8.4419,0.713816342234,0.1188497543334961,5,-340.399621748,-14.2201725889,0.713816342234,0.899528629393,0.0536556,4637.34
0.0064314,-254.895100454,13.2711,-14.166,0.783783729271,0.424461564339,22,1.6073856353759766,-236.010805648,39.353066205978394,-19.2873243868,912.2051703929901,0.988009,14.2087,0.9654111862182617,12.9640994938,13.3241,14.2189660972,0.0,1.80179,8.44072,0.782716683468,0.11777949333190918,5,-272.595054884,-14.1682471942,0.782716683468,0.88763732478,0.0529814,4631.87
0.0099932,-258.401935837,13.2941,-14.147,0.723853107967,0.255824692927,23,1.624845266342163,-237.271206044,39.351369857788086,-23.7952240387,951.6912183761597,0.98628,14.1875,0.9571990966796875,30.417874764,13.3616,14.1973067518,0.0,1.76784,8.43015,0.72387688914,0.12100505828857422,5,-317.095142303,-14.1491782189,0.72387688914,0.880599413416,0.0675354,4583.21
0.00989211,-272.250020948,12.9531,-14.082,0.774896070761,0.404201085691,24,1.616156816482544,-252.361773789,39.36040759086609,-16.5933207988,991.1838574409485,0.985368,14.1206,0.9499130249023438,23.5447535225,13.0219,14.1301870194,0.0,1.69996,8.42443,0.773874324289,0.11870169639587402,5,-317.051080998,-14.0838731742,0.773874324289,0.86241559218,0.0688248,4557.05
0.00647693,-237.003488275,12.9186,-13.9687,0.769745694007,0.353598659046,25,1.6143746376037598,-163.216263057,39.66605806350708,-12.4923350772,1030.9866106510162,0.983517,14.0005,0.9605722427368164,41.7262631206,12.9752,14.0086254139,0.0,1.62616,8.41311,0.769896446306,0.11905980110168457,5,-284.477698571,-13.970702784,0.769896446306,0.846693163991,0.0566368,4505.75
0.00643058,-245.297632641,13.1469,-13.9001,0.766775532698,0.230960543199,26,1.6355297565460205,-205.09881505,39.587629318237305,-15.8976334682,1070.7110047340393,0.982364,13.9297,0.9771192073822021,32.6670789906,13.1978,13.937531925,0.0,1.56036,8.40603,0.766416815369,0.11982083320617676,5,-304.234420273,-13.9016278549,0.766416815369,0.832141352284,0.0508661,4473.95
0.00996024,-213.209760414,12.5968,-13.7823,0.781258021467,0.0471205461122,27,1.6006879806518555,-176.099017096,39.285332918167114,-10.5766849749,1110.1313812732697,0.982692,13.8097,0.974916934967041,23.0878903034,12.6656,13.8171308226,0.0,1.5361,8.40811,0.78250233188,0.1180119514465332,5,-242.839645791,-13.7837412882,0.78250233188,0.828207387629,0.0688362,4483.26
0.00642214,-215.437885047,12.3943,-13.5664,0.765415648653,0.000439651502236,28,1.6147608757019043,-156.289540199,39.94649076461792,-9.28440355531,1150.2083899974823,0.980735,13.591,0.9768095016479492,33.5117782716,12.448,13.5977960997,0.0,1.53028,8.39584,0.76532092246,0.11634254455566406,5,-257.416503073,-13.5677278341,0.76532092246,0.823516385502,0.0536861,4428.59
0.00647803,-215.222620487,11.9259,-13.3287,0.76499581094,0.287664405076,29,1.611774206161499,-191.158051357,39.724148750305176,-17.9775091171,1190.0663146972656,0.978793,13.3499,0.9701700210571289,26.932680197,11.9814,13.3555396119,0.0,1.50404,8.38404,0.764629760094,0.11963438987731934,5,-256.670437745,-13.329937154,0.764629760094,0.820182746649,0.0554886,4376.64
0.00646879,-223.587997974,11.6313,-13.0298,0.78302829813,-0.059329698623,30,1.6181881427764893,-196.93326759,39.47541832923889,-18.5553169377,1229.6737806797028,0.978797,13.049,0.9571137428283691,26.8783903505,11.6848,13.0550117914,0.0,1.47276,8.38397,0.782682993805,0.1200566291809082,5,-268.250645606,-13.0309808277,0.782682993805,0.812768445485,0.0534897,4376.33
0.0099268,-168.874366824,11.0637,-12.668,0.766477492873,0.194506917698,31,1.6099824905395508,-134.419425327,39.59768199920654,-23.7266997768,1269.4047725200653,0.97668,12.6852,0.9517405033111572,22.327756197,11.1327,12.6901504442,0.0,1.44483,8.37084,0.766801107503,0.12816548347473145,5,-204.803347885,-12.6688828252,0.766801107503,0.810197198457,0.0690184,4319.27
0.00643451,-155.383477673,10.2573,-12.301,0.755188716106,-0.128839323524,32,1.6147515773773193,-130.729494926,39.571012020111084,-9.78521341066,1309.1073451042175,0.976026,12.3156,0.9824893474578857,16.3933794642,10.312,12.3202336374,0.0,1.40846,8.36629,0.753894788405,0.12096834182739258,5,-179.19457241,-12.3018325237,0.753894788405,0.80292285871,0.0547514,4299.66
0.00999233,-175.07423384,9.95171,-11.8812,0.751731688117,0.0141460822902,33,1.615429401397705,-118.614558623,39.385406732559204,-9.81217988553,1348.6262211799622,0.972323,11.8948,0.9741768836975098,57.2637506465,10.0216,11.8992968979,0.0,1.38829,8.34347,0.749311451632,0.11920619010925293,5,-285.064823161,-11.8815578425,0.749311451632,0.799897206721,0.0698824,4202.63
0.00991587,-137.317355479,9.17605,-11.3845,0.784918401206,0.0328805385641,34,1.6082453727722168,-108.050462889,39.603166580200195,-6.69155318629,1388.364761352539,0.969667,11.3976,0.9641718864440918,22.5853882794,9.24314,11.4017660944,0.0,1.39031,8.3271,0.785483960896,0.11995649337768555,5,-170.004350404,-11.3851078301,0.785483960896,0.800222082833,0.0670872,4134.42
0.0064216,-144.831319805,8.61679,-10.8331,0.739697325019,0.0668525537541,35,1.611797571182251,-107.289785753,39.43831515312195,-13.8858484627,1427.9379818439484,0.968549,10.8451,0.9661960601806641,35.326844559,8.67065,10.8493442444,0.0,1.39337,8.31999,0.741938416357,0.12348222732543945,5,-209.283177834,-10.8335736089,0.741938416357,0.803331497442,0.053854,4105.14
0.00979184,-87.1725097448,7.45167,-10.2058,0.764435148813,-0.192787998441,36,1.6014032363891602,-66.2710018401,39.4665846824646,-12.1568215969,1467.5395698547363,0.966158,10.2173,0.9616594314575195,30.6215316526,7.52583,10.2211806802,0.0,1.36329,8.30493,0.766221822596,0.11789631843566895,5,-147.829416753,-10.205849253,0.766221822596,0.797748082446,0.0741611,4043.77
0.00995624,-97.4842970733,6.45534,-9.52859,0.70568901739,-0.00201824487884,37,1.61415433883667,-32.69759438,39.63941311836243,-9.48216065974,1507.3160004615784,0.968686,9.54084,0.9689338207244873,50.4178639568,6.52326,9.54480082584,0.0,1.35548,8.32084,0.706556024946,0.12070798873901367,5,-174.988787615,-9.52823631755,0.706556024946,0.797547448966,0.0679197,4108.6
0.00642387,-91.3617461823,5.72168,-8.80043,0.746112713159,-0.0670984789018,38,1.629173994064331,-53.4418573919,39.747605323791504,-13.6217556031,1547.1992917060852,0.963996,8.81277,0.9796240329742432,22.9049545373,5.7792,8.81696714644,0.0,1.35748,8.29138,0.746402050589,0.12468576431274414,5,-115.678648168,-8.79987402653,0.746402050589,0.799573696683,0.0575137,3989.35
0.00642651,-52.5838226603,4.37789,-7.98276,0.784110539951,-0.00138465067308,39,1.6107118129730225,65.0837412153,39.617493629455566,-4.18540802972,1586.9520189762115,0.959489,7.99668,0.9701635837554932,65.3725339589,4.43212,8.00150514086,0.0,1.30578,8.26286,0.781458103819,0.11945009231567383,5,-118.288210409,-7.98190251045,0.781458103819,0.791639978731,0.0542288,3877.15
0.0064112,-6.11134070066,2.92506,-7.12073,0.786210445641,0.067714068499,40,1.5935213565826416,25.2776353374,39.49392628669739,-2.36663506017,1626.5804665088654,0.957215,7.14197,0.9666826725006104,18.6149014536,2.98163,7.14898249862,0.0,1.31931,8.24869,0.785117886179,0.11735343933105469,5,-30.0749311124,-7.11926405171,0.785117886179,0.797226992166,0.0565739,3822.61
0.00996944,13.5134612558,1.81444,-6.21253,0.797111630211,-0.0730742305481,41,1.6274347305297852,45.5946253178,39.35909152030945,2.51348633062,1666.0732855796814,0.952483,6.25268,0.9727826118469238,30.0173400117,1.88076,6.26754746473,0.0,1.31099,8.21865,0.797385713763,0.11554718017578125,5,-39.2292221029,-6.21027642297,0.797385713763,0.795092170859,0.0663176,3709.49
0.00991205,7.92195835772,1.0322,-5.22844,0.77198181559,0.0733574251733,42,1.5993738174438477,42.78714775,39.55761170387268,-5.59533703916,1705.7648975849152,0.947686,5.33743,0.962632417678833,22.7919029977,1.09758,5.37412115334,0.0,1.344,8.18746,0.769629948934,0.12226390838623047,5,-28.7039351909,-5.22593927494,0.769629948934,0.800932618742,0.0653853,3595.58
