AverageQLoss,ExplainedVariance,ItrTime,Time,AbsLearnSignalNew,AveragePolicyStd,MaxReturn,LossAfter,Iteration,dLoss,NumTrajs,MeanKLBefore,Perplexity,Entropy,AverageQ,AverageAbsQYDiff,AverageAbsQ,ProcessExecTime,PolicyExecTime,AverageAbsY,AbsLearnSignal,StdReturn,MeanKL,AbsLearnSignalOld,MinReturn,EnvExecTime,LossBefore,AverageReturn,AverageDiscountedReturn,AverageY
0.372008,3.17383896942e-11,40.4223530292511,40.4223575592041,0.732787434874,1.0,-401.080892029,1.92312,0,0.0717291,5,0.0,4982.22,8.51363,-0.94188,0.466028056375,1.23866,0.11982178688049316,0.9150612354278564,1.33943153841,0.732787434874,56.9520446874,0.00997473,0.732510045616,-546.032319805,1.4968810081481934,1.99485,-479.598875692,-46.4380162998,-0.944848243876
0.739964,-0.0910178534078,40.18707728385925,80.75700736045837,0.774217369129,0.99967,-395.578765909,3.13109,1,0.0559313,5,0.0,4972.36,8.51165,-2.60777,0.661556346115,2.89704,0.1197049617767334,0.9031362533569336,2.97049712298,0.774217369129,26.7418008139,0.00642494,0.774280293628,-466.115282267,1.4747765064239502,3.18702,-424.2751528,-21.7480142197,-2.60868110575
1.24393,0.0184615430049,40.491909980773926,121.38293623924255,0.747875754623,0.99927,-391.462345428,5.33885,2,0.0600576,5,0.0,4960.43,8.50925,-4.30448,0.847095035041,4.67522,0.12456059455871582,0.9422125816345215,4.74729843311,0.747875754623,111.659635777,0.0064477,0.748261022633,-691.57660775,1.5214629173278809,5.39891,-471.311365371,-42.9007208073,-4.30520554261
1.83535,0.1122511732,40.2413387298584,161.75698828697205,0.755542422475,0.998656,-238.510264594,6.37897,3,0.0719151,5,0.0,4942.16,8.50556,-5.78965,1.0184264821,6.23992,0.1287064552307129,0.93827223777771,6.31899552611,0.755542422475,152.020183335,0.00997649,0.754938100453,-682.637286763,1.5664012432098389,6.45089,-399.37933382,-43.4483566299,-5.79192841833
2.53604,0.0235534906599,40.30911421775818,202.2035231590271,0.769162137726,0.998628,-293.376470831,7.97223,4,0.0667963,5,0.0,4941.31,8.50539,-7.21466,1.18357161677,7.75426,0.1257328987121582,0.9549622535705566,7.8450712299,0.769162137726,94.0521174969,0.00642401,0.769922931009,-561.846253566,1.5868499279022217,8.03903,-458.943793251,-43.0275370973,-7.21856789927
2.85528,0.116033994041,40.222809076309204,242.56625294685364,0.773708280614,0.999371,-239.8761512,8.01886,5,0.0640554,5,0.0,4963.36,8.50984,-8.28666,1.24609584472,8.86041,0.1261591911315918,0.9484860897064209,8.95088384054,0.773708280614,97.2634682377,0.00641157,0.773950395947,-482.605396424,1.5870592594146729,8.08292,-365.833563399,-25.0411803226,-8.29007063369
3.54923,-0.240915051582,40.42208218574524,283.1257338523865,0.810601784341,0.999294,-291.114785855,8.67679,6,0.0732231,5,0.0,4961.05,8.50937,-9.14592,1.37888804962,9.76081,0.1262202262878418,0.9546046257019043,9.86083733639,0.810601784341,90.9982218023,0.0064825,0.811151282836,-509.608562842,1.5785632133483887,8.75001,-388.144739301,-31.8245430801,-9.15000650464
3.85961,0.0771449762816,40.11783242225647,323.3792452812195,0.794970283404,0.998995,-171.932930967,8.97031,7,0.0628757,5,0.0,4952.18,8.50758,-9.82373,1.4343284613,10.471,0.12502717971801758,0.970367431640625,10.5708461493,0.794970283404,108.685346433,0.00650953,0.795201596485,-451.559865653,1.5964350700378418,9.03319,-272.039325053,-28.2145734959,-9.82720582772
4.08209,0.256977912985,40.19572687149048,363.71098494529724,0.756803185986,0.998456,-86.7642812477,8.57342,8,0.067214,5,0.0,4936.15,8.50434,-10.2778,1.466709196,10.9715,0.12740755081176758,0.9965934753417969,11.0702055581,0.756803185986,142.700406079,0.00650959,0.755652065454,-428.177945414,1.6106479167938232,8.64064,-290.617646918,-24.6978614603,-10.280941566
4.29997,0.115004421273,40.2406222820282,404.0866072177887,0.760163097359,0.998792,-174.431371618,8.79107,9,0.0657463,5,0.0,4946.14,8.50636,-10.6452,1.50428366354,11.3966,0.1270143985748291,0.9833037853240967,11.4944210336,0.760163097359,72.222871002,0.00645997,0.758915626991,-385.996877172,1.619680404663086,8.85682,-302.708091661,-16.8496694821,-10.6477978155
