MinReturn,AverageQLoss,ExplainedVariance,Iteration,NumTrajs,LossBefore,ProcessExecTime,MaxReturn,Time,AverageAbsQYDiff,AbsLearnSignalNew,Entropy,AverageAbsY,LossAfter,PolicyExecTime,AveragePolicyStd,EnvExecTime,Perplexity,AbsLearnSignal,AverageReturn,dLoss,AverageQ,AbsLearnSignalOld,ItrTime,MeanKL,AverageY,StdReturn,AverageAbsQ,MeanKLBefore,AverageDiscountedReturn
-435.638066912,0.365974,2.68089994648e-11,0,5,1.66755,0.08624458312988281,-295.376016449,36.39951467514038,0.458644246467,0.76178893755,8.51363,1.29104133091,1.60128,0.6787993907928467,1.0,1.601135492324829,4982.22,0.76178893755,-369.088966332,0.0662704,-0.886612,0.761411160751,36.39950251579285,0.00996695,-0.888787757175,45.8466368586,1.18986,0.0,-39.3782359054
-482.947210099,0.637361,-0.313006414304,1,5,3.124,0.08891177177429199,-290.174960655,72.76037693023682,0.610162564806,0.773579814292,8.50422,2.76198447818,3.05635,0.6772322654724121,0.998437,1.634479284286499,4935.57,0.773579814292,-391.471380915,0.0676472,-2.42744,0.773519398397,36.225770711898804,0.00997319,-2.42965536485,63.7341790558,2.69971,0.0,-36.5793683909
-490.497345743,1.16629,0.164529057216,2,5,4.49727,0.08778834342956543,-313.643301616,109.14974927902222,0.813448719552,0.739740404415,8.4939,4.21936714786,4.43736,0.6723403930664062,0.99672,1.6072852611541748,4884.89,0.739740404415,-385.762800092,0.0599084,-3.72982,0.740293938183,36.2662239074707,0.00645538,-3.73121502481,57.5085570886,4.14766,0.0,-53.8002914863
-398.862582064,1.56801,0.214350004382,3,5,5.13526,0.09128212928771973,-295.540388094,145.5169870853424,0.936326685152,0.742504241266,8.49275,5.42129944586,5.07866,0.6930348873138428,0.996533,1.615297794342041,4879.28,0.742504241266,-360.456632595,0.0566015,-4.86601,0.744107913216,36.250245571136475,0.00642335,-4.86833226315,34.970584044,5.34975,0.0,-24.2805420707
-410.431039849,2.1102,0.305378067535,4,5,4.89461,0.09499788284301758,-156.832414836,182.07344484329224,1.06662580604,0.778471341169,8.49505,6.31596275165,4.83434,0.7430520057678223,0.996921,1.68243408203125,4890.48,0.778471341169,-285.063441918,0.0602717,-5.65337,0.77895657403,36.43928551673889,0.00646563,-5.65635585866,80.7919546293,6.23284,0.0,-40.3646305144
-387.755110516,2.30209,0.169005196186,5,5,6.57387,0.08773469924926758,-276.653159142,218.6043679714203,1.1044109187,0.772338924139,8.4814,7.13003667121,6.51924,0.7173974514007568,0.994666,1.6767089366912842,4824.21,0.772338924139,-326.472114982,0.054626,-6.47465,0.771246655597,36.42032217979431,0.00640979,-6.47787869996,40.1974472203,7.0525,0.0,-36.8675479145
-339.122789591,2.52898,0.240901209845,6,5,6.87768,0.08941102027893066,-206.175100328,255.15053820610046,1.14123569848,0.755275232427,8.46587,7.80242073182,6.81874,0.7082259654998779,0.9921,1.6627559661865234,4749.88,0.755275232427,-287.026836816,0.0589375,-7.09822,0.756145202097,36.41612482070923,0.00641176,-7.10124925783,55.7932763687,7.72249,0.0,-23.1073305695
-330.574905035,2.69879,0.131246017864,7,5,7.02466,0.08936524391174316,-196.102547252,291.50328373908997,1.16848267089,0.768378545961,8.45659,8.2512855711,6.95766,0.7254207134246826,0.990555,1.6781036853790283,4705.98,0.768378545961,-270.77557391,0.0669956,-7.57389,0.766178846442,36.23898983001709,0.0099356,-7.57681830643,47.7597026901,8.17513,0.0,-20.5511081165
-340.75349693,2.73133,0.468203630056,8,5,7.67193,0.08506488800048828,-245.695551007,327.9672667980194,1.16598034447,0.754032944122,8.44573,8.69540985046,7.61631,0.710625171661377,0.988762,1.6619579792022705,4655.14,0.754032944122,-293.88833293,0.0556178,-8.04164,0.754415543243,36.34744691848755,0.00645772,-8.04444250229,37.221863693,8.62516,0.0,-22.1164527674
-346.960670844,2.81062,0.494562713993,9,5,8.20002,0.08920145034790039,-166.814639119,364.24904012680054,1.18086278488,0.741151265127,8.4354,9.07120145132,8.14156,0.7418794631958008,0.987064,1.7008202075958252,4607.3,0.741151265127,-277.314885546,0.0584669,-8.38021,0.740723889913,36.16113758087158,0.00646476,-8.38339756895,64.2361531459,9.00248,0.0,-20.8506035549
