LossBefore,MinReturn,NumTrajs,AverageY,AverageReturn,Perplexity,MaxReturn,AbsLearnSignal,EnvExecTime,LossAfter,AverageAbsQYDiff,Iteration,AveragePolicyStd,AverageDiscountedReturn,PolicyExecTime,AverageAbsQ,StdReturn,MeanKLBefore,ProcessExecTime,Entropy,AverageQ,dLoss,AbsLearnSignalOld,ExplainedVariance,ItrTime,AverageQLoss,MeanKL,AbsLearnSignalNew,AverageAbsY,Time
2.14679,-545.872062868,5,-1.29942897533,-483.542557519,4982.22,-394.111632103,0.723886244637,1.6145482063293457,2.08009,0.511235711746,0,1.0,-46.05443032,0.6734373569488525,1.4685,58.267273694,0.0,0.08413362503051758,8.51363,-1.29513,0.0667019,0.723813534482,3.50189877096e-11,36.44898557662964,0.446037,0.0099425,0.723886244637,1.56379251516,36.44899320602417
3.8638,-541.145848845,5,-3.03899144767,-456.771078688,4986.95,-401.834221266,0.724245085446,1.5988304615020752,3.79036,0.632090440308,1,1.00016,-40.241093164,0.6721673011779785,3.19411,59.905937402,0.0,0.09235715866088867,8.51458,-3.03688,0.0734427,0.724076354347,0.341319048399,36.0950767993927,0.686681,0.00991329,0.724245085446,3.24698362708,72.6929063796997
5.64279,-492.347139,5,-4.806853965,-374.960413908,4959.73,-229.369721153,0.703178382015,1.6146697998046875,5.55465,0.781064494155,2,0.99925,-32.8215099763,0.6945126056671143,5.02628,86.9967244703,0.0,0.0917043685913086,8.50911,-4.8034,0.088141,0.703381713683,-3.1385772735,36.369105100631714,1.12112,0.00989163,0.703178382015,5.08054911999,109.17669320106506
6.05817,-505.262041511,5,-6.07330694866,-387.870476468,4962.92,-289.638219686,0.690795614539,1.6473405361175537,6.00133,0.849356186664,3,0.999358,-25.0289545425,0.7039673328399658,6.34218,79.4912990665,0.0,0.08935308456420898,8.50975,-6.06972,0.0568337,0.690474561302,0.177724215513,36.132230281829834,1.30198,0.00647192,0.690795614539,6.39445135043,145.4371259212494
7.18635,-449.434777464,5,-7.24643148591,-369.596897488,4960.56,-243.957761462,0.71110248757,1.6521525382995605,7.12811,0.948919010186,4,0.999279,-23.4119532329,0.7370121479034424,7.57078,67.7656447324,0.0,0.09363818168640137,8.50927,-7.24209,0.0582395,0.711193046856,0.319418036799,36.374695777893066,1.67118,0.00640721,0.71110248757,7.62785735365,181.93178129196167
8.35675,-409.688159694,5,-8.28275616619,-362.535179051,4946.06,-290.945890407,0.771906211348,1.621760368347168,8.30049,0.975555667871,5,0.998793,-11.7918040497,0.6983542442321777,8.62123,40.5142708161,0.0,0.09259986877441406,8.50635,-8.27892,0.0562658,0.772165597653,0.625689674537,36.18309020996094,1.77441,0.00645008,0.771906211348,8.6738513539,218.23136496543884
9.22693,-459.385271575,5,-9.2690731869,-335.665580394,4943.16,-236.263504413,0.804358044067,1.6542351245880127,9.16683,1.06077199909,6,0.998694,-29.8606886922,0.7346158027648926,9.63158,73.7979036027,0.0,0.0915975570678711,8.50576,-9.26595,0.0600986,0.804812242362,-0.815235187488,36.35966730117798,2.15689,0.00645768,0.804358044067,9.68784759162,254.72728967666626
10.1658,-439.667077923,5,-10.1450987956,-384.968696502,4956.43,-322.42753282,0.795696156032,1.6623427867889404,10.1091,1.06791807877,7,0.99914,-25.3106489689,0.7682976722717285,10.4881,49.9791839335,0.0,0.0947573184967041,8.50844,-10.1419,0.0567408,0.796558618097,-0.02564799447,36.20912146568298,2.19599,0.00647996,0.795696156032,10.5369868725,291.049329996109
11.3928,-510.043554136,5,-10.9874512826,-370.86462071,4940.35,-271.146465168,0.733078528776,1.6766903400421143,11.3307,1.09401630472,8,0.998598,-25.0615832035,0.7751731872558594,11.3278,82.7059792448,0.0,0.08853435516357422,8.50519,-10.9843,0.0620737,0.734282194302,0.213513031434,36.25540256500244,2.36104,0.00644606,0.733078528776,11.3770513819,327.42952585220337
12.2526,-459.177806271,5,-11.7681729291,-390.780705819,4950.48,-291.422070336,0.718598347828,1.6811165809631348,12.1933,1.0902544993,9,0.998939,-34.6889130515,0.7820925712585449,12.0858,56.4748482337,0.0,0.0930638313293457,8.50724,-11.7647,0.0592384,0.718074513771,0.42101968424,36.102741956710815,2.38625,0.00647954,0.718598347828,12.1323331518,363.6529004573822
12.2071,-458.10367776,5,-12.4211281604,-359.302423909,4947.94,-255.108731917,0.76985090709,1.6928701400756836,12.149,1.09546863438,10,0.998853,-12.087519619,0.8052761554718018,12.7306,77.8264610821,0.0,0.10030794143676758,8.50673,-12.4179,0.0580807,0.769588670674,0.18616673377,36.437700033187866,2.44908,0.00647591,0.76985090709,12.7736173187,400.20638823509216
11.6831,-399.815291165,5,-12.8633621119,-304.090239486,4943.11,-148.316218853,0.739861419868,1.704084873199463,11.622,1.12290950322,11,0.99869,-24.8091456209,0.8501894474029541,13.1919,93.7085521917,0.0,0.09426212310791016,8.50575,-12.8601,0.0611362,0.740544883382,0.337549719284,36.57641553878784,2.61018,0.00644225,0.739861419868,13.2366359079,436.9074218273163
