PolicyExecTime,EnvExecTime,ProcessExecTime,AbsLearnSignalOld,AbsLearnSignalNew,AbsLearnSignal,Iteration,AverageDiscountedReturn,AverageReturn,ExplainedVariance,NumTrajs,Entropy,Perplexity,StdReturn,MaxReturn,MinReturn,AveragePolicyStd,LossBefore,LossAfter,MeanKLBefore,MeanKL,dLoss,AverageQLoss,AverageQ,AverageAbsQ,AverageY,AverageAbsY,AverageAbsQYDiff,Time,ItrTime
1.7451367378234863,6.224291563034058,0.1027669906616211,0.844488220011,0.816546395816,0.816546395816,0,97.9530073396,110.041914701,9.43278788412e-12,218,24.122,2.99247e+10,27.2953853745,204.257831908,72.1171960675,1.0,-19.174,-19.2513,0.0,0.00661278,0.0772667,53.8114,8.71988,10.4147,8.78274561664,10.8601411575,2.76723011605,86.19708180427551,86.19707107543945
5.523685455322266,11.56456995010376,0.31948184967041016,0.486423344364,0.843594796633,0.843594796633,1,96.2024979956,107.819636373,0.0783394945399,222,24.1275,3.00918e+10,27.1504347998,213.1041334,74.7296737043,1.00033,-34.4613,-34.546,0.0,0.00645741,0.0847359,7.47462,27.2682,27.2739,27.3003358207,27.3003358207,1.8579193941,184.08836889266968,97.40328192710876
6.831859111785889,12.804466009140015,0.22722721099853516,0.428390196487,0.83101817757,0.83101817757,2,93.6330738635,104.461088562,-0.227547569931,229,24.1243,2.99937e+10,23.9907948519,197.064153932,72.1870639924,1.00014,-45.4156,-45.5144,0.0,0.00641745,0.0988312,13.4017,41.0669,41.0943,41.0888059239,41.0891542208,2.25245603198,279.62698197364807,95.23918533325195
5.737505197525024,13.89809274673462,0.2607765197753906,0.231448585256,0.782549999283,0.782549999283,3,99.2639617626,111.741085897,-10.0134373474,216,24.1264,3.0058e+10,28.0453095875,190.495828005,72.3157211452,1.00026,-53.3223,-53.5105,0.0,0.00995957,0.188286,14.0079,50.1597,50.1871,50.1722519579,50.175099491,2.59912298885,378.6281306743622,98.76140332221985
6.7311625480651855,12.986045122146606,0.21676898002624512,0.637953122244,0.790300048431,0.790300048431,4,104.625356463,118.829422895,0.420130032825,202,24.1301,3.01696e+10,32.6394886754,256.780539384,76.3667884269,1.00048,-59.2497,-59.444,0.0,0.0064342,0.194336,19.0677,56.0181,56.0315,56.0301021636,56.0310384656,3.12639482322,477.2288544178009,98.47933149337769
4.195873498916626,13.169424533843994,0.21992731094360352,0.661308599317,0.7783290712,0.7783290712,5,109.490368712,125.141826455,0.386541586872,192,24.129,3.01359e+10,33.4949229712,234.518909106,76.8790861683,1.00042,-63.4798,-63.7683,0.0,0.00997622,0.288563,24.3518,60.0626,60.0747,60.0734340165,60.0743104067,3.60681025512,567.8848297595978,90.57910251617432
3.734532356262207,15.795544862747192,0.20453906059265137,0.632243172597,0.776463960458,0.776463960458,6,116.966854309,135.539980613,0.287424251037,178,24.1275,3.00902e+10,43.3946353125,282.405478111,74.7726781297,1.00033,-68.026,-68.2884,0.0,0.00641088,0.262413,28.6611,63.1318,63.1422,63.1420348993,63.1429590359,3.94059422336,666.7917613983154,98.74687790870667
3.783003091812134,13.908570766448975,0.23267555236816406,0.768155987948,0.789000799303,0.789000799303,7,117.900100625,136.72974113,0.45879828373,176,24.1259,3.00441e+10,40.8898944738,298.252805544,75.3759126092,1.00024,-70.0452,-70.2995,0.0,0.00641352,0.254311,31.4336,65.7575,65.7669,65.7689444817,65.769775565,4.14615869253,762.1879696846008,95.25317525863647
3.8841538429260254,14.071304559707642,0.29358625411987305,0.302432490395,0.736481074498,0.736481074498,8,126.49941904,148.811782029,-2.24010256834,162,24.1257,3.00371e+10,47.632224632,330.979980155,79.8560359905,1.00022,-73.1255,-73.3936,0.0,0.00640678,0.26812,34.7951,68.6217,68.6297,68.6336692772,68.6337696964,4.3713115043,860.9321961402893,98.2772536277771
5.260666847229004,15.771368503570557,0.25182604789733887,0.364298109685,0.754986943923,0.754986943923,9,130.447322266,154.554952998,-2.29033760785,158,24.1254,3.0028e+10,52.6089419898,358.469638799,81.3849857183,1.0002,-77.8563,-78.1472,0.0,0.00641771,0.290916,38.7587,72.0017,72.0112,72.0149660526,72.0159903837,4.60722405174,957.004203081131,95.71507453918457
6.196343421936035,14.73578929901123,0.2535116672515869,0.338740220875,0.778252007599,0.778252007599,10,136.003159864,162.094214746,-2.1433411242,150,24.1249,3.00129e+10,51.7815799509,293.32826921,81.0513560088,1.00017,-82.1159,-82.4169,0.0,0.0064061,0.301041,43.4932,76.0402,76.0515,76.0526351893,76.0539090527,4.86295632498,1056.7820703983307,99.55054259300232
5.188725709915161,16.21133041381836,0.19831562042236328,0.320496113158,0.765718333768,0.765718333768,11,143.901930562,173.659763519,-3.1012736223,141,24.1247,3.00075e+10,54.4842185701,357.774616536,78.7733726766,1.00016,-88.1697,-88.4935,0.0,0.00641397,0.323822,49.4239,80.2973,80.31,80.3135911564,80.3141939154,5.15573602573,1156.1247916221619,99.26011753082275
4.281376361846924,15.806319952011108,0.22682881355285645,0.501257388042,0.775107617494,0.775107617494,12,142.652404984,172.50869022,-0.315728958046,141,24.1243,2.99965e+10,59.3458787704,385.248924457,77.3268873345,1.00014,-92.6279,-92.9415,0.0,0.00641165,0.313606,55.481,85.0017,85.0153,85.0154384226,85.0161825397,5.44840984758,1256.0498962402344,99.74073481559753
5.318094491958618,16.7067289352417,0.3394327163696289,0.713848164662,0.767353179979,0.767353179979,13,147.533533461,180.689148088,0.193574631897,134,24.1239,2.99845e+10,67.8283183618,396.452177772,76.374081235,1.00012,-98.5646,-98.8701,0.0,0.00643588,0.305504,61.2871,89.9385,89.9513,89.9542623873,89.9552944795,5.7152834385,1356.0661053657532,99.88246941566467
6.526764392852783,15.769543886184692,0.2776663303375244,0.558662467578,0.776194026362,0.776194026362,14,165.163391782,206.06358574,-0.647768068399,119,24.1242,2.99922e+10,66.7835236067,423.84473077,86.5181750591,1.00013,-105.77,-106.116,0.0,0.00640885,0.346313,67.9574,95.5226,95.5372,95.5371539257,95.5383354445,6.01100830293,1454.358075618744,98.13685178756714
4.82867956161499,15.563687324523926,0.2511014938354492,0.149368176198,0.632824692467,0.632824692467,15,164.259209484,204.703679342,-18.4051068688,120,24.1238,2.99814e+10,64.1529191208,401.108335244,77.4360306213,1.00011,-111.653,-111.982,0.0,0.00640878,0.329231,75.2808,101.414,101.429,101.432257623,101.432778517,6.31995069228,1554.070788860321,99.63419699668884
4.873021841049194,16.77409839630127,0.26885509490966797,0.636290789524,0.800662050248,0.800662050248,16,162.289533167,202.955343881,0.169257035768,119,24.1237,2.99758e+10,70.9931884918,456.927870573,77.2180907394,1.0001,-120.447,-120.77,0.0,0.00640807,0.32386,84.3306,107.284,107.304,107.300307384,107.301577432,6.67004867814,1653.6064875125885,99.38289332389832
3.8594882488250732,14.992940902709961,0.19190335273742676,0.545673873605,0.778889462865,0.778889462865,17,171.522102804,216.787284322,-0.263467175932,110,24.124,2.99876e+10,64.4692344216,394.351116768,81.8153894409,1.00012,-124.449,-124.762,0.0,0.00640565,0.312637,91.0503,113.583,113.605,113.596187632,113.599182877,6.93710583689,1755.3198239803314,101.5190942287445
6.052150011062622,14.766377687454224,0.2968728542327881,0.689248503325,0.797229287966,0.797229287966,18,169.96339868,212.577471803,0.39723464342,116,24.1234,2.99696e+10,60.3317451644,403.652450902,82.5140404286,1.00009,-132.687,-132.962,0.0,0.00642781,0.275726,99.2618,119.565,119.589,119.579619072,119.583342038,7.22700590324,1854.006681919098,98.51578140258789
7.740885257720947,15.402203798294067,0.20868706703186035,0.690413009126,0.788460422841,0.788460422841,19,180.287785718,229.381818025,0.42326971769,107,24.123,2.99568e+10,64.4472405087,463.016035882,87.2847275611,1.00006,-137.332,-137.606,0.0,0.00643862,0.273926,105.227,125.419,125.449,125.432384992,125.435153904,7.4233687868,1956.7413892745972,102.53088736534119
4.466182470321655,15.696988344192505,0.16219401359558105,0.725807831675,0.813506432482,0.813506432482,20,183.029460298,234.076278156,0.428629053836,107,24.1228,2.99489e+10,69.9060100098,550.212347414,79.5624244898,1.00005,-140.608,-140.869,0.0,0.00641305,0.260147,108.159,129.986,130.009,130.001609233,130.004472285,7.50958812974,2049.247658252716,92.07415628433228
5.246325969696045,16.98865818977356,0.26665639877319336,0.583105602284,0.633026862193,0.633026862193,21,180.390150911,230.992886612,-0.481536075425,107,24.1229,2.99535e+10,76.5754674641,475.166231674,80.605126156,1.00006,-142.883,-143.172,0.0,0.00642159,0.288956,112.795,133.728,133.758,133.743254243,133.74714936,7.63913340368,2154.1858048439026,104.80764412879944
8.403730154037476,15.397101163864136,0.36394476890563965,0.6480614271,0.767718861864,0.767718861864,22,197.619577438,258.550834116,0.326464781395,96,24.1223,2.99347e+10,72.8008619042,515.875792587,91.47839209,1.00002,-147.026,-147.326,0.0,0.00640841,0.299789,115.589,137.179,137.214,137.194559781,137.198206023,7.70333305878,2254.0406816005707,99.65667867660522
